,Yr_Plot,Fire_Year,Plot_.,Date,Subsample_area_S.M.L,Belt_N.S.E.W,Belt_dist_m,Species,Height_cm,DBH_cm,Bud_scar_count,Pre_or_Post_Fire,Top_damage.browse_Y.N,tally,comments,tally_filled,ntimes,TPH
5052,2012_626,2012,626,7.16.2018,M,n,15.9,TSHE,6,NA,2,post,,NA,,1,1,83.33333333
5053,2012_626,2012,626,7.16.2018,M,n,15.9,ABGR,26,NA,4,post,,NA,,1,1,83.33333333
5054,2012_626,2012,626,7.16.2018,M,n,16,TSHE,7,NA,2,post,,NA,,1,1,83.33333333
5055,2012_626,2012,626,7.16.2018,M,n,16,PIEN,8,NA,3,post,,NA,,1,1,83.33333333
5056,2012_626,2012,626,7.16.2018,M,s,3.7,TSHE,9,NA,NA,post,,NA,,1,1,83.33333333
5057,2012_626,2012,626,7.16.2018,M,e,20.3,TSHE,19,NA,3,post,,NA,,1,1,83.33333333
5058,2012_626,2012,626,7.16.2018,M,e,20.4,PICO,14,NA,2,post,,NA,,1,1,83.33333333
5059,2012_626,2012,626,7.16.2018,M,e,21.2,TSHE,21,NA,4,post,,NA,,1,1,83.33333333
5060,2012_626,2012,626,7.16.2018,M,e,21.2,TSHE,5,NA,1,post,,2,,3,3,83.33333333
5061,2012_626,2012,626,7.16.2018,M,e,21.2,TSHE,5,NA,1,post,,2,,3,3,83.33333333
5062,2012_626,2012,626,7.16.2018,M,e,21.2,TSHE,5,NA,1,post,,2,,3,3,83.33333333
5063,2012_626,2012,626,7.16.2018,M,e,21.3,TSHE,7,NA,1,post,,NA,,1,1,83.33333333
5064,2012_626,2012,626,7.16.2018,M,s,11.6,TSHE,18,NA,NA,post,,NA,,1,1,83.33333333
5065,2012_626,2012,626,7.16.2018,M,s,11.6,TSHE,14,NA,NA,post,,NA,,1,1,83.33333333
5066,2012_626,2012,626,7.16.2018,M,s,11.6,TSHE,7,NA,NA,post,,NA,,1,1,83.33333333
5067,2012_626,2012,626,7.16.2018,M,s,11.5,TSHE,15,NA,NA,post,,NA,,1,1,83.33333333
5068,2012_626,2012,626,7.16.2018,M,s,11.5,TSHE,7,NA,NA,post,,NA,,1,1,83.33333333
5069,2012_626,2012,626,7.16.2018,M,s,11.1,TSHE,9,NA,NA,post,,NA,,1,1,83.33333333
5070,2012_626,2012,626,7.16.2018,M,s,10.4,PICO,9,NA,NA,post,,NA,,1,1,83.33333333
5071,2012_626,2012,626,7.16.2018,M,s,9.9,TSHE,10,NA,NA,post,,3,,4,4,83.33333333
5072,2012_626,2012,626,7.16.2018,M,s,9.9,TSHE,10,NA,NA,post,,3,,4,4,83.33333333
5073,2012_626,2012,626,7.16.2018,M,s,9.9,TSHE,10,NA,NA,post,,3,,4,4,83.33333333
5074,2012_626,2012,626,7.16.2018,M,s,9.9,TSHE,10,NA,NA,post,,3,,4,4,83.33333333
5075,2012_626,2012,626,7.16.2018,M,s,9.9,TSHE,6,NA,NA,post,,NA,,1,1,83.33333333
5076,2012_626,2012,626,7.16.2018,M,s,9.8,ABGR,10,NA,NA,post,,NA,,1,1,83.33333333
5077,2012_626,2012,626,7.16.2018,M,s,9,PSME,6,NA,NA,post,,NA,,1,1,83.33333333
5078,2012_626,2012,626,7.16.2018,M,W,9.6,PICO,13,NA,NA,post,,NA,,1,1,83.33333333
5079,2012_626,2012,626,7.16.2018,M,W,9,TSHE,14,NA,NA,post,,NA,,1,1,83.33333333
5080,2012_626,2012,626,7.16.2018,M,W,8.4,PSME,5,NA,NA,post,,NA,,1,1,83.33333333
5081,2012_626,2012,626,7.16.2018,M,W,8.4,TSHE,10,NA,NA,post,,NA,,1,1,83.33333333
5082,2012_626,2012,626,7.16.2018,M,W,8.3,TSHE,18,NA,NA,post,,NA,,1,1,83.33333333
5083,2012_626,2012,626,7.16.2018,M,W,8.3,TSHE,3,NA,NA,post,,NA,,1,1,83.33333333
5084,2012_626,2012,626,7.16.2018,M,W,8.3,PIEN,19,NA,NA,post,,NA,,1,1,83.33333333
5085,2012_626,2012,626,7.16.2018,M,W,7.3,ABGR,6,NA,NA,post,,NA,,1,1,83.33333333
5086,2012_626,2012,626,7.16.2018,M,e,19.7,TSHE,7,NA,1,post,,2,,3,3,83.33333333
5087,2012_626,2012,626,7.16.2018,M,e,19.7,TSHE,7,NA,1,post,,2,,3,3,83.33333333
5088,2012_626,2012,626,7.16.2018,M,e,20.2,TSHE,15,NA,3,post,,NA,,1,1,83.33333333
5089,2012_626,2012,626,7.16.2018,M,e,20.2,TSHE,20,NA,3,post,,NA,,1,1,83.33333333
5090,2012_626,2012,626,7.16.2018,M,e,20.3,TSHE,10,NA,2,post,,NA,,1,1,83.33333333
5091,2012_626,2012,626,7.16.2018,M,e,20.2,PSME,13,NA,2,post,,NA,,1,1,83.33333333
5092,2012_626,2012,626,7.16.2018,M,e,20.3,TSHE,11,NA,1,post,,NA,,1,1,83.33333333
5093,2012_626,2012,626,7.16.2018,M,e,20.3,TSHE,6,NA,1,post,,2,,3,3,83.33333333
5094,2012_626,2012,626,7.16.2018,M,e,20.3,TSHE,6,NA,1,post,,2,,3,3,83.33333333
5095,2012_626,2012,626,7.16.2018,M,e,20.3,TSHE,6,NA,1,post,,2,,3,3,83.33333333
5096,2012_626,2012,626,7.16.2018,M,e,20.3,PSME,7,NA,2,post,,NA,,1,1,83.33333333
5097,2012_626,2012,626,7.16.2018,M,W,12,PSME,21,NA,NA,post,,NA,,1,1,83.33333333
5098,2012_626,2012,626,7.16.2018,M,n,16.1,TSHE,5,NA,1,post,,NA,,1,1,83.33333333
5099,2012_626,2012,626,7.16.2018,M,n,16.4,TSHE,6,NA,1,post,,NA,,1,1,83.33333333
5100,2012_626,2012,626,7.16.2018,M,n,16.5,TSHE,14,NA,3,post,,NA,,1,1,83.33333333
5101,2012_626,2012,626,7.16.2018,M,n,16.6,TSHE,15,NA,3,post,,NA,,1,1,83.33333333
5102,2012_626,2012,626,7.16.2018,M,n,15.4,PICO,7,NA,2,post,,NA,,1,1,83.33333333
5103,2012_626,2012,626,7.16.2018,M,n,18.2,PICO,30,NA,3,post,,NA,,1,1,83.33333333
5104,2012_626,2012,626,7.16.2018,M,e,21.4,TSHE,12,NA,3,post,,NA,,1,1,83.33333333
5105,2012_626,2012,626,7.16.2018,M,e,21.4,TSHE,7,NA,1,post,,2,,3,3,83.33333333
5106,2012_626,2012,626,7.16.2018,M,W,14.9,TSHE,12,NA,NA,post,,NA,,1,1,83.33333333
5107,2012_626,2012,626,7.16.2018,M,W,14.8,PSME,4,NA,NA,post,,NA,,1,1,83.33333333
5108,2012_626,2012,626,7.16.2018,M,e,21.6,TSHE,7,NA,2,post,,NA,,1,1,83.33333333
5109,2012_626,2012,626,7.16.2018,M,W,12.3,TSHE,10,NA,NA,post,,NA,,1,1,83.33333333
5110,2012_626,2012,626,7.16.2018,M,e,19.6,TSHE,6,NA,1,post,,2,,3,3,83.33333333
5111,2012_626,2012,626,7.16.2018,M,W,12,PIMO,10,NA,NA,post,,NA,,1,1,83.33333333
5112,2012_626,2012,626,7.16.2018,M,W,12,TSHE,5,NA,NA,post,,2,,3,3,83.33333333
5113,2012_626,2012,626,7.16.2018,M,W,12,TSHE,5,NA,NA,post,,2,,3,3,83.33333333
5114,2012_626,2012,626,7.16.2018,M,W,12,TSHE,5,NA,NA,post,,2,,3,3,83.33333333
5115,2012_626,2012,626,7.16.2018,M,W,11.6,TSHE,11,NA,NA,post,,NA,,1,1,83.33333333
5116,2012_626,2012,626,7.16.2018,M,W,10.9,TSHE,13,NA,NA,post,,NA,,1,1,83.33333333
5117,2012_626,2012,626,7.16.2018,M,W,10.9,TSHE,11,NA,NA,post,,NA,,1,1,83.33333333
5118,2012_626,2012,626,7.16.2018,M,W,10.9,PSME,14,NA,NA,post,,NA,,1,1,83.33333333
5119,2012_626,2012,626,7.16.2018,M,W,10.2,TSHE,10,NA,NA,post,,NA,,1,1,83.33333333
5120,2012_626,2012,626,7.16.2018,M,W,10.2,ABGR,9,NA,NA,post,,NA,,1,1,83.33333333
5121,2012_626,2012,626,7.16.2018,M,e,19.6,TSHE,14,NA,3,post,,NA,,1,1,83.33333333
5122,2012_626,2012,626,7.16.2018,M,e,19.6,TSHE,14,NA,3,post,,NA,,1,1,83.33333333
5123,2012_626,2012,626,7.16.2018,M,n,22.9,PSME,16,NA,3,post,,NA,,1,1,83.33333333
5124,2012_626,2012,626,7.16.2018,M,e,19.6,TSHE,6,NA,1,post,,2,,3,3,83.33333333
5125,2012_626,2012,626,7.16.2018,M,e,19.6,TSHE,6,NA,1,post,,2,,3,3,83.33333333
5126,2012_626,2012,626,7.16.2018,M,e,19.7,TSHE,7,NA,1,post,,2,,3,3,83.33333333
5127,2012_626,2012,626,7.16.2018,M,e,15.9,TSHE,7,NA,1,post,,NA,,1,1,83.33333333
5128,2012_626,2012,626,7.16.2018,M,e,18.2,TSHE,4,NA,1,post,,NA,,1,1,83.33333333
5129,2012_626,2012,626,7.16.2018,M,e,18.1,TSHE,12,NA,3,post,,NA,,1,1,83.33333333
5130,2012_626,2012,626,7.16.2018,M,e,19.1,TSHE,9,NA,1,post,,NA,,1,1,83.33333333
5131,2012_626,2012,626,7.16.2018,M,n,18.9,TSHE,8,NA,2,post,,NA,,1,1,83.33333333
5132,2012_626,2012,626,7.16.2018,M,s,0.3,PSME,7,NA,NA,post,,NA,,1,1,83.33333333
5133,2012_626,2012,626,7.16.2018,M,n,19.9,PSME,12,NA,2,post,,NA,,1,1,83.33333333
5134,2012_626,2012,626,7.16.2018,M,n,20.4,TSHE,11,NA,3,post,,NA,,1,1,83.33333333
5135,2012_626,2012,626,7.16.2018,M,W,13.5,TSHE,16,NA,NA,post,,NA,,1,1,83.33333333
5136,2012_626,2012,626,7.16.2018,M,n,21,PSME,11,NA,2,post,,NA,,1,1,83.33333333
5137,2012_626,2012,626,7.16.2018,M,n,26.2,TSHE,29,NA,4,post,,NA,,1,1,83.33333333
5138,2012_626,2012,626,7.16.2018,M,n,26.3,ABGR,45,NA,3,post,,NA,,1,1,83.33333333
5139,2012_626,2012,626,7.16.2018,M,e,15.9,TSHE,15,NA,3,post,,NA,,1,1,83.33333333
5140,2012_626,2012,626,7.16.2018,M,e,19.2,PSME,10,NA,2,post,,NA,,1,1,83.33333333
5141,2012_626,2012,626,7.16.2018,M,e,19.3,TSHE,5,NA,1,post,,NA,,1,1,83.33333333
5142,2012_626,2012,626,7.16.2018,M,e,19.4,TSHE,18,NA,4,post,,NA,,1,1,83.33333333
5143,2012_626,2012,626,7.16.2018,M,e,19.3,TSHE,22,NA,5,post,,NA,,1,1,83.33333333
5144,2012_626,2012,626,7.16.2018,M,e,19.6,PICO,24,NA,3,post,,NA,,1,1,83.33333333
5145,2012_634,2012,634,8/24/2018,M,W,3.1,PSME,5,NA,2,post,,NA,,1,1,83.33333333
5146,2012_634,2012,634,8/24/2018,M,W,2.4,PSME,8,NA,2,post,,NA,,1,1,83.33333333
5147,2012_634,2012,634,8/24/2018,M,W,2.4,PSME,5,NA,1,post,,NA,,1,1,83.33333333
5148,2012_634,2012,634,8/24/2018,M,W,3.1,PSME,5,NA,1,post,,NA,,1,1,83.33333333
5149,2012_634,2012,634,8/24/2018,M,W,0.8,PSME,20,NA,3,post,,NA,,1,1,83.33333333
5150,2012_634,2012,634,8/24/2018,M,W,1.2,LAOC,8,NA,2,post,,NA,,1,1,83.33333333
5151,2012_634,2012,634,8/24/2018,M,W,0.7,PSME,3,NA,1,post,,NA,,1,1,83.33333333
5152,2012_634,2012,634,8/24/2018,M,W,0.1,PSME,10,NA,2,post,,NA,,1,1,83.33333333
5153,2012_634,2012,634,8/24/2018,M,W,0.1,PSME,11,NA,2,post,,NA,,1,1,83.33333333
5154,2012_634,2012,634,8/24/2018,M,n,17.8,ABGR,10,NA,2,post,,NA,,1,1,83.33333333
5155,2012_634,2012,634,8/24/2018,M,n,22.3,ABGR,17,NA,3,post,,NA,,1,1,83.33333333
5156,2012_634,2012,634,8/24/2018,M,n,24.7,PSME,11,NA,2,post,,NA,,1,1,83.33333333
5157,2012_634,2012,634,8/24/2018,M,W,2.2,LAOC,3,NA,0,post,,NA,,1,1,83.33333333
5158,2012_634,2012,634,8/24/2018,M,W,2.2,PSME,4,NA,1,post,,NA,,1,1,83.33333333
5159,2012_634,2012,634,8/24/2018,M,W,1.9,LAOC,20,NA,3,post,,NA,,1,1,83.33333333
5160,2012_634,2012,634,8/24/2018,M,W,1.5,LAOC,6,NA,2,post,,NA,,1,1,83.33333333
5161,2012_634,2012,634,8/24/2018,M,W,1.2,LAOC,15,NA,2,post,,NA,,1,1,83.33333333
5162,2012_634,2012,634,8/24/2018,M,W,1.2,LAOC,14,NA,2,post,,NA,,1,1,83.33333333
5163,2012_634,2012,634,8/24/2018,M,W,4.1,PSME,6,NA,1,post,,NA,,1,1,83.33333333
5164,2012_634,2012,634,8/24/2018,M,W,3.9,LAOC,8,NA,3,post,,NA,,1,1,83.33333333
5165,2012_634,2012,634,8/24/2018,M,W,3.8,PSME,8,NA,2,post,,NA,,1,1,83.33333333
5166,2012_634,2012,634,8/24/2018,M,W,3.9,PSME,6,NA,1,post,,NA,,1,1,83.33333333
5167,2012_634,2012,634,8/24/2018,M,s,12.1,PSME,5,NA,0,post,,NA,,1,1,83.33333333
5168,2012_634,2012,634,8/24/2018,M,s,11.7,ABGR,9,NA,2,post,,NA,,1,1,83.33333333
5169,2012_634,2012,634,8/24/2018,M,s,12,ABGR,6,NA,1,post,,NA,,1,1,83.33333333
5170,2012_634,2012,634,8/24/2018,M,s,10.7,ABGR,13,NA,3,post,,NA,,1,1,83.33333333
5171,2012_634,2012,634,8/24/2018,M,s,10.6,ABGR,14,NA,3,post,,NA,,1,1,83.33333333
5172,2012_634,2012,634,8/24/2018,M,s,3.6,ABGR,12,NA,NA,post,,NA,,1,1,83.33333333
5173,2012_634,2012,634,8/24/2018,M,s,2.5,ABGR,7,NA,NA,post,,NA,,1,1,83.33333333
5174,2012_634,2012,634,8/24/2018,M,e,18.4,PSME,4,NA,NA,post,,NA,,1,1,83.33333333
5175,2012_634,2012,634,8/24/2018,M,W,4.1,ABGR,11,NA,3,post,,NA,,1,1,83.33333333
5176,2012_634,2012,634,8/24/2018,M,n,26.4,PSME,3,NA,1,post,,NA,,1,1,83.33333333
5177,2012_634,2012,634,8/24/2018,M,n,26.1,LAOC,7,NA,1,post,,NA,,1,1,83.33333333
5178,2012_634,2012,634,8/24/2018,M,n,26.6,ABGR,16,NA,2,post,,NA,,1,1,83.33333333
5179,2012_634,2012,634,8/24/2018,M,n,21.1,PSME,4,NA,1,post,,NA,,1,1,83.33333333
5180,2012_634,2012,634,8/24/2018,M,n,27.4,ABGR,8,NA,1,post,,NA,,1,1,83.33333333
5181,2012_634,2012,634,8/24/2018,M,n,27.4,LAOC,15,NA,2,post,,NA,,1,1,83.33333333
5182,2012_634,2012,634,8/24/2018,M,n,27.6,PSME,9,NA,2,post,,NA,,1,1,83.33333333
5183,2012_634,2012,634,8/24/2018,M,W,8.1,PSME,10,NA,2,post,,NA,,1,1,83.33333333
5184,2012_634,2012,634,8/24/2018,M,W,6.5,ABGR,13,NA,2,post,,NA,,1,1,83.33333333
5185,2012_634,2012,634,8/24/2018,M,W,5.2,ABGR,12,NA,3,post,,NA,,1,1,83.33333333
5186,2012_634,2012,634,8/24/2018,M,W,4.9,ABGR,7,NA,1,post,,NA,,1,1,83.33333333
5187,2012_634,2012,634,8/24/2018,M,W,4.6,LAOC,4,NA,1,post,,NA,,1,1,83.33333333
5188,2012_634,2012,634,8/24/2018,M,W,4.2,LAOC,3,NA,0,post,,NA,,1,1,83.33333333
5189,2012_634,2012,634,8/24/2018,M,n,28.2,PSME,8,NA,2,post,,2,,3,3,83.33333333
5190,2012_634,2012,634,8/24/2018,M,n,28.2,PSME,8,NA,2,post,,2,,3,3,83.33333333
5191,2012_634,2012,634,8/24/2018,M,n,29.1,ABGR,6,NA,1,post,,NA,,1,1,83.33333333
5192,2012_634,2012,634,8/24/2018,M,n,29.6,ABGR,5,NA,1,post,,NA,,1,1,83.33333333
5193,2012_634,2012,634,8/24/2018,M,s,12.1,ABGR,11,NA,3,post,,NA,,1,1,83.33333333
5194,2012_634,2012,634,8/24/2018,M,n,27.7,ABGR,11,NA,NA,post,y,NA,,1,1,83.33333333
5195,2012_634,2012,634,8/24/2018,M,n,27.7,ABGR,12,NA,3,post,,NA,,1,1,83.33333333
5196,2012_634,2012,634,8/24/2018,M,n,28,PSME,5,NA,1,post,,NA,,1,1,83.33333333
5197,2012_634,2012,634,8/24/2018,M,n,27.6,PSME,10,NA,2,post,,NA,,1,1,83.33333333
5198,2012_634,2012,634,8/24/2018,M,n,25.7,ABGR,10,NA,3,post,,NA,,1,1,83.33333333
5199,2012_634,2012,634,8/24/2018,M,n,28.2,PSME,8,NA,2,post,,2,,3,3,83.33333333
5200,2012_634,2012,634,8/24/2018,M,n,28,LAOC,8,NA,1,post,,NA,,1,1,83.33333333
5201,2012_635,2012,635,7.30.18,S,e,18,LAOC,2,NA,NA,,,NA,,1,1,333.3333333
5202,2012_635,2012,635,7.30.18,S,e,17.9,LAOC,10,NA,NA,,,NA,,1,1,333.3333333
5203,2012_635,2012,635,7.30.18,S,e,18,LAOC,4,NA,NA,,,NA,,1,1,333.3333333
5204,2012_635,2012,635,7.30.18,S,e,17.5,PICO,1,NA,NA,,,NA,,1,1,333.3333333
5205,2012_635,2012,635,7.30.18,S,e,17.9,LAOC,6,NA,NA,,,NA,,1,1,333.3333333
5206,2012_635,2012,635,7.30.18,S,e,17.9,LAOC,4,NA,NA,,,NA,,1,1,333.3333333
5207,2012_635,2012,635,7.30.18,S,W,2.3,PICO,4,NA,1,,,NA,,1,1,333.3333333
5208,2012_635,2012,635,7.30.18,S,n,24.8,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5209,2012_635,2012,635,7.30.18,S,n,24.8,LAOC,2,NA,NA,,,NA,,1,1,333.3333333
5210,2012_635,2012,635,7.30.18,S,e,18.1,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5211,2012_635,2012,635,7.30.18,S,n,24.7,LAOC,2,NA,NA,,,NA,,1,1,333.3333333
5212,2012_635,2012,635,7.30.18,S,n,27.8,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5213,2012_635,2012,635,7.30.18,S,n,27.9,LAOC,1,NA,NA,,,NA,,1,1,333.3333333
5214,2012_635,2012,635,7.30.18,S,W,3.2,PICO,2,NA,0,,,NA,,1,1,333.3333333
5215,2012_635,2012,635,7.30.18,S,e,18.2,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5216,2012_635,2012,635,7.30.18,S,n,25.3,LAOC,4,NA,NA,,,NA,,1,1,333.3333333
5217,2012_635,2012,635,7.30.18,S,n,25.8,LAOC,1,NA,NA,,,NA,,1,1,333.3333333
5218,2012_635,2012,635,7.30.18,S,n,26.3,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5219,2012_635,2012,635,7.30.18,S,n,26.7,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5220,2012_635,2012,635,7.30.18,S,n,26.8,LAOC,12,NA,NA,,,NA,,1,1,333.3333333
5221,2012_635,2012,635,7.30.18,S,n,26.8,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5222,2012_635,2012,635,7.30.18,S,n,27.4,LAOC,3,NA,NA,,,NA,,1,1,333.3333333
5223,2012_635,2012,635,7.30.18,S,n,25,LAOC,6,NA,NA,,,NA,,1,1,333.3333333
5224,2012_635,2012,635,7.30.18,S,n,25,LAOC,3,NA,NA,,,NA,,1,1,333.3333333
5225,2012_635,2012,635,7.30.18,S,n,25.1,LAOC,2,NA,NA,,,NA,,1,1,333.3333333
5226,2012_635,2012,635,7.30.18,S,n,25.1,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5227,2012_635,2012,635,7.30.18,S,n,25.2,LAOC,2,NA,NA,,,NA,,1,1,333.3333333
5228,2012_635,2012,635,7.30.18,S,W,1.9,LAOC,3,NA,2,,,NA,,1,1,333.3333333
5229,2012_635,2012,635,7.30.18,S,n,27.9,LAOC,6,NA,NA,,,NA,,1,1,333.3333333
5230,2012_635,2012,635,7.30.18,S,n,27.9,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5231,2012_635,2012,635,7.30.18,S,n,28,LAOC,8,NA,NA,,,NA,,1,1,333.3333333
5232,2012_635,2012,635,7.30.18,S,n,28.5,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5233,2012_635,2012,635,7.30.18,S,n,28.9,LAOC,9,NA,NA,,,NA,,1,1,333.3333333
5234,2012_635,2012,635,7.30.18,S,n,28.9,LAOC,4,NA,NA,,,NA,,1,1,333.3333333
5235,2012_635,2012,635,7.30.18,S,n,29.5,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5236,2012_635,2012,635,7.30.18,S,n,27.4,LAOC,4,NA,NA,,,NA,,1,1,333.3333333
5237,2012_635,2012,635,7.30.18,S,n,27.7,LAOC,6,NA,NA,,,NA,,1,1,333.3333333
5238,2012_635,2012,635,7.30.18,S,n,27.8,PICO,3,NA,NA,,,NA,,1,1,333.3333333
5239,2012_635,2012,635,7.30.18,S,s,15,LAOC,4,NA,1,,,NA,,1,1,333.3333333
5240,2012_635,2012,635,7.30.18,S,s,14.3,LAOC,5,NA,1,,,NA,,1,1,333.3333333
5241,2012_635,2012,635,7.30.18,S,n,25.3,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5242,2012_635,2012,635,7.30.18,S,e,16.2,PICO,5,NA,NA,,,NA,,1,1,333.3333333
5243,2012_635,2012,635,7.30.18,S,e,16.2,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5244,2012_635,2012,635,7.30.18,S,e,16.5,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5245,2012_635,2012,635,7.30.18,S,e,16.6,LAOC,4,NA,NA,,,NA,,1,1,333.3333333
5246,2012_635,2012,635,7.30.18,S,e,16.7,LAOC,6,NA,NA,,,NA,,1,1,333.3333333
5247,2012_635,2012,635,7.30.18,S,e,16.8,PICO,4,NA,NA,,,NA,,1,1,333.3333333
5248,2012_635,2012,635,7.30.18,S,e,16.9,LAOC,6,NA,NA,,,NA,,1,1,333.3333333
5249,2012_635,2012,635,7.30.18,S,e,16.9,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5250,2012_635,2012,635,7.30.18,S,e,16.9,LAOC,13,NA,NA,,,NA,,1,1,333.3333333
5251,2012_635,2012,635,7.30.18,S,e,16.9,LAOC,1,NA,NA,,,NA,,1,1,333.3333333
5252,2012_635,2012,635,7.30.18,S,e,17,PICO,8,NA,NA,,,NA,,1,1,333.3333333
5253,2012_635,2012,635,7.30.18,S,e,17.1,LAOC,12,NA,NA,,,NA,,1,1,333.3333333
5254,2012_635,2012,635,7.30.18,S,e,17.1,LAOC,6,NA,NA,,,NA,,1,1,333.3333333
5255,2012_635,2012,635,7.30.18,S,e,17.2,LAOC,4,NA,NA,,,NA,,1,1,333.3333333
5256,2012_635,2012,635,7.30.18,S,e,17.2,LAOC,2,NA,NA,,,NA,,1,1,333.3333333
5257,2012_635,2012,635,7.30.18,S,e,17.2,LAOC,1,NA,NA,,,NA,,1,1,333.3333333
5258,2012_635,2012,635,7.30.18,S,e,17.3,LAOC,4,NA,NA,,,NA,,1,1,333.3333333
5259,2012_635,2012,635,7.30.18,S,W,1.5,PICO,2,NA,0,,,NA,,1,1,333.3333333
5260,2012_635,2012,635,7.30.18,S,W,1,PICO,3,NA,0,,,NA,,1,1,333.3333333
5261,2012_635,2012,635,7.30.18,S,W,0.6,PICO,3,NA,0,,,NA,,1,1,333.3333333
5262,2012_635,2012,635,7.30.18,S,W,0.9,PICO,2,NA,0,,,NA,,1,1,333.3333333
5263,2012_635,2012,635,7.30.18,S,W,0.5,PICO,3,NA,0,,,NA,,1,1,333.3333333
5264,2012_635,2012,635,7.30.18,S,n,15.2,LAOC,4,NA,2,,,NA,,1,1,333.3333333
5265,2012_635,2012,635,7.30.18,S,n,15.2,PSME,1,NA,0,,,NA,,1,1,333.3333333
5266,2012_635,2012,635,7.30.18,S,n,27.8,LAOC,3,NA,NA,,,NA,,1,1,333.3333333
5267,2012_635,2012,635,7.30.18,S,e,18.2,LAOC,14,NA,NA,,,NA,,1,1,333.3333333
5268,2012_635,2012,635,7.30.18,S,e,18.2,LAOC,18,NA,NA,,,NA,,1,1,333.3333333
5269,2012_635,2012,635,7.30.18,S,s,14.3,LAOC,2,NA,0,,,NA,,1,1,333.3333333
5270,2012_635,2012,635,7.30.18,S,s,14.2,LAOC,2,NA,0,,,NA,,1,1,333.3333333
5271,2012_635,2012,635,7.30.18,S,s,14.5,PICO,5,NA,0,,,NA,,1,1,333.3333333
5272,2012_635,2012,635,7.30.18,S,s,12.5,PICO,7,NA,1,,,NA,,1,1,333.3333333
5273,2012_635,2012,635,7.30.18,S,s,11.7,LAOC,8,NA,1,,,NA,,1,1,333.3333333
5274,2012_635,2012,635,7.30.18,S,s,11.6,PICO,8,NA,1,,,NA,,1,1,333.3333333
5275,2012_635,2012,635,7.30.18,S,s,10.9,PICO,3,NA,0,,,NA,,1,1,333.3333333
5276,2012_635,2012,635,7.30.18,S,s,10.9,LAOC,2,NA,0,,,NA,,1,1,333.3333333
5277,2012_635,2012,635,7.30.18,S,s,10.8,LAOC,4,NA,4,,,NA,,1,1,333.3333333
5278,2012_635,2012,635,7.30.18,S,s,10.7,ABGR,3,NA,0,,,NA,,1,1,333.3333333
5279,2012_635,2012,635,7.30.18,S,n,29.5,LAOC,13,NA,NA,,,NA,,1,1,333.3333333
5280,2012_635,2012,635,7.30.18,S,n,29.6,LAOC,4,NA,NA,,,NA,,1,1,333.3333333
5281,2012_635,2012,635,7.30.18,S,e,15.3,LAOC,2,NA,NA,,,NA,,1,1,333.3333333
5282,2012_635,2012,635,7.30.18,S,s,8.5,PIEN,3,NA,0,,,NA,,1,1,333.3333333
5283,2012_635,2012,635,7.30.18,S,s,7.8,LAOC,5,NA,1,,,NA,,1,1,333.3333333
5284,2012_635,2012,635,7.30.18,S,s,0.8,PICO,4,NA,0,,,NA,,1,1,333.3333333
5285,2012_635,2012,635,7.30.18,S,W,14.6,PSME,7,NA,1,,,NA,,1,1,333.3333333
5286,2012_635,2012,635,7.30.18,S,W,13.3,PSME,5,NA,1,,,NA,,1,1,333.3333333
5287,2012_635,2012,635,7.30.18,S,W,12.7,PIEN,5,NA,2,,,NA,,1,1,333.3333333
5288,2012_635,2012,635,7.30.18,S,W,11.4,ABGR,8,NA,2,,,NA,,1,1,333.3333333
5289,2012_635,2012,635,7.30.18,S,W,10.9,LAOC,4,NA,0,,,NA,,1,1,333.3333333
5290,2012_635,2012,635,7.30.18,S,W,7.4,ABGR,5,NA,1,,,NA,,1,1,333.3333333
5291,2012_635,2012,635,7.30.18,S,W,6.7,LAOC,3,NA,1,,,NA,,1,1,333.3333333
5292,2012_635,2012,635,7.30.18,S,W,5.1,PICO,3,NA,0,,,NA,,1,1,333.3333333
5293,2012_635,2012,635,7.30.18,S,W,4.1,ABGR,6,NA,1,,,NA,,1,1,333.3333333
5294,2012_635,2012,635,7.30.18,S,W,3.9,PSME,5,NA,2,,,NA,,1,1,333.3333333
5295,2012_635,2012,635,7.30.18,S,W,3.4,PICO,4,NA,0,,,NA,,1,1,333.3333333
5296,2012_635,2012,635,7.30.18,S,e,21.8,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5297,2012_635,2012,635,7.30.18,S,e,21.9,LAOC,5,NA,NA,,,NA,,1,1,333.3333333
5298,2012_635,2012,635,7.30.18,S,e,22,LAOC,2,NA,NA,,,NA,,1,1,333.3333333
