,Yr_Plot,Fire_Year,Plot_.,Date,Subsample_area_S.M.L,Belt_N.S.E.W,Belt_dist_m,Species,Height_cm,DBH_cm,Bud_scar_count,Pre_or_Post_Fire,Top_damage.browse_Y.N,tally,comments,tally_filled,ntimes,TPH
47,2012_102,2012,102,8/29/2016,M,W,5.4,PICO,56,NA,NA,pre,n,NA,,1,1,83.33333333
48,2012_102,2012,102,8/29/2016,M,e,,none,NA,NA,NA,,,NA,,1,1,0
49,2012_102,2012,102,8/29/2016,M,S,5.2,ABLA,408,6.9,NA,pre,y,NA,,1,1,83.33333333
50,2012_102,2012,102,8/29/2016,M,S,5.1,ABLA,NA,5.7,NA,pre,y,NA,,1,1,83.33333333
51,2012_102,2012,102,8/29/2016,M,S,5,ABLA,285,3.7,NA,pre,n,NA,,1,1,83.33333333
52,2012_102,2012,102,8/29/2016,M,S,4.8,ABLA,223,2.8,NA,pre,y,NA,,1,1,83.33333333
53,2012_102,2012,102,8/29/2016,M,S,4.8,ABLA,188,1.6,NA,pre,y,NA,,1,1,83.33333333
54,2012_102,2012,102,8/29/2016,M,S,4.7,ABLA,217,1.6,NA,pre,n,NA,,1,1,83.33333333
55,2012_102,2012,102,8/29/2016,M,S,4.6,ABLA,81,NA,NA,pre ,y,NA,,1,1,83.33333333
56,2012_102,2012,102,8/29/2016,M,S,2.4,ABLA,18,NA,8,pre ,n,NA,,1,1,83.33333333
57,2012_102,2012,102,8/29/2016,M,S,2.3,ABLA,10,NA,6,pre ,n,NA,,1,1,83.33333333
58,2012_102,2012,102,8/29/2016,M,S,2.3,ABLA,11,NA,5,pre ,n,NA,,1,1,83.33333333
59,2012_102,2012,102,8/29/2016,M,S,2.3,ABLA,40,NA,14,pre ,n,NA,,1,1,83.33333333
60,2012_102,2012,102,8/29/2016,M,S,2,ABLA,21,NA,10,pre ,n,NA,,1,1,83.33333333
61,2012_102,2012,102,8/29/2016,M,S,2,ABLA,32,NA,11,pre,n,NA,,1,1,83.33333333
62,2012_102,2012,102,8/29/2016,M,S,2,ABLA,36,NA,10,pre,n,NA,,1,1,83.33333333
63,2012_102,2012,102,8/29/2016,M,S,1.9,ABLA,46,NA,15,pre ,n,NA,,1,1,83.33333333
64,2012_102,2012,102,8/29/2016,M,S,1.3,ABLA,18,NA,8,pre ,n,NA,,1,1,83.33333333
65,2012_102,2012,102,8/29/2016,M,S,1.2,ABLA,13,NA,4,pre,n,NA,,1,1,83.33333333
66,2012_102,2012,102,8/29/2016,M,S,1.1,ABLA,28,NA,9,pre ,n,NA,,1,1,83.33333333
67,2012_102,2012,102,8/29/2016,M,S,0.8,ABLA,64,NA,NA,pre,n,NA,,1,1,83.33333333
68,2012_102,2012,102,8/29/2016,M,S,0.8,ABLA,32,NA,NA,pre,n,NA,,1,1,83.33333333
69,2012_102,2012,102,8/29/2016,M,n,19.1,PICO,16,NA,2,post,n,NA,,1,1,83.33333333
70,2012_102,2012,102,8/29/2016,M,n,18.3,PICO,7.1,NA,1,post,n,NA,,1,1,83.33333333
71,2012_102,2012,102,8/29/2016,M,W,7.5,ABLA,44,NA,NA,pre,y,NA,,1,1,83.33333333
